name,publisher,releaseDate,url,summary
How does your pay compare with other jobs?,BBC,2023-11-03T22:03:06,https://www.bbc.co.uk/news/business-67308318,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/g8hZG7/how-does-your-pay-compare-with-other-jobs""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""Nov. 3, 2023, 10:03 p.m."" datetime=""2023-11-03T22:03:06"">2 years ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span> </div> </span> <span>|</span> <span> <a href=""/media-outlet/bbc"" target=""_blank"" rel=""noreferrer"" class="""">BBC</a> <small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small> </span> </div> The average full-time worker in the UK was earning nearly £35,000 a year in April, official data shows, a rise of 5.8% on the previous year. The size of that rise varies from job to job, with travel agents getting a pay bump of 21%, while sport coaches saw their earnings fall the most. Despite the increases in pay, most workers' wages rose by less than inflation, the rate at which the cost of goods and services rise."
Travel agents lead pay rise league despite cost of living squeeze,BBC,2023-11-01T11:13:46,https://www.bbc.co.uk/news/business-67278269,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/gxt1uj/travel-agents-lead-pay-rise-league-despite-cost-of-living-squeeze""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""Nov. 1, 2023, 11:13 a.m."" datetime=""2023-11-01T11:13:46"">2 years ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span><span>, <a href=""/kevin-peachey"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""183131"">Kevin Peachey</a>&nbsp;<small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small></span> </div> </span> <span>|</span> <span> <a href=""/media-outlet/bbc"" target=""_blank"" rel=""noreferrer"" class="""">BBC</a> <small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small> </span> </div> Travel agents recorded the biggest rise in pay last year, up 21% in a year, official data shows, with public relations directors and publicans next on the list. Sports coaches saw the largest fall and, overall, UK workers saw earnings fail to keep pace with rising prices. The average full-time worker's wage was nearly £35,000 in April 2023, an increase of 5.8% on the previous year. But the cost of living grew faster than wages over the same period. That ate into workers' spending power."
How a British sitcom made it big in Serbia,blog.samizdata.co,2023-10-24T08:29:05,https://blog.samizdata.co/p/how-a-british-sitcom-swept-through-the-balkans,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/gLqbqo/how-a-british-sitcom-made-it-big-in-serbia""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""Oct. 24, 2023, 8:29 a.m."" datetime=""2023-10-24T08:29:05"">2 years ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span> </div> </span> <span>|</span> <span> <a href=""http://blog.samizdata.co"" target=""_blank"" rel=""noreferrer"" class="""">blog.samizdata.co</a> </span> </div> If you were in Britain on Christmas Day in 1992, chances are you sat in front of the TV to watch an episode of one of the most-beloved series in the country, Only Fools and Horses. In that particular Christmas episode, protagonists Del Boy and Rodney come up with a plan to bottle and sell tap water under the “Peckham Spring” brand, named after a London district not far from where I live."
Hoppin' around: Where to find the best beer in Eastern Europe?,blog.samizdata.co,2023-08-29T08:08:07,https://blog.samizdata.co/p/where-to-find-the-best-beer-eastern-europe,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/ySCu8y/hoppin-around-where-to-find-the-best-beer-in-eastern-europe""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""Aug. 29, 2023, 8:08 a.m."" datetime=""2023-08-29T08:08:07"">2 years ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span> </div> </span> <span>|</span> <span> <a href=""http://blog.samizdata.co"" target=""_blank"" rel=""noreferrer"" class="""">blog.samizdata.co</a> </span> </div> This newsletter comes to you a bit later than planned. That’s partially down to my laziness, and partially because I was on holiday. While on this holiday, I discovered the excellent Sofia Electric Brewing Co, one of the best breweries I had the pleasure of giving my money to. I didn’t think of Bulgaria as the place I’ll discover good beer, which begs the question: is Eastern European beer any good?"
The best place to live in Eastern Europe,blog.samizdata.co,2023-07-12T07:38:32,https://blog.samizdata.co/p/best-place-to-live-in-eastern-europe,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/yimJKw/the-best-place-to-live-in-eastern-europe""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""July 12, 2023, 7:38 a.m."" datetime=""2023-07-12T07:38:32"">2 years ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span> </div> </span> <span>|</span> <span> <a href=""http://blog.samizdata.co"" target=""_blank"" rel=""noreferrer"" class="""">blog.samizdata.co</a> </span> </div> The Economist’s Intelligence Unit has recently published an update to its “Global Liveability Index”. You can read a summary PDF here or, if you’ve got an extra $10,995 stashed in your Swiss bank account, you can buy a 12-month subscription to the data. For those of us who can’t afford to pay the equivalent of a brand new Dacia Duster for a spreadsheet, what can we learn from the bits that are available to the public? Let’s start with the good news."
"Package holidays in Greece, Spain and Turkey soar in price",Nestia News,2023-06-28T21:02:56,https://news.nestia.com/detail/Package-holidays-in-Greece%2C-Spain-and-Turkey-soar-in-price/11215044,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/yjvtJj/package-holidays-in-greece-spain-and-turkey-soar-in-price""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""June 28, 2023, 9:02 p.m."" datetime=""2023-06-28T21:02:56"">2 years ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span><span>, <a href=""/colletta-smith"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""351258"">Colletta Smith</a>&nbsp;<small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small></span><span>, <a href=""/lucy-hooker"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""171778"">Lucy Hooker</a>&nbsp;<small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small></span> </div> </span> <span>|</span> <span> <a href=""/media-outlet/news-nestia"" target=""_blank"" rel=""noreferrer"" class="""">Nestia News</a> </span> </div> Image source, Getty Images By Nicu Calcea, Colletta Smith &amp; Lucy Hooker BBC News All-inclusive package holidays have jumped in price for Mediterranean hotspots including Majorca and Crete. The average price of a week with full food and board in Majorca in Spain is up 21%. Prices for Tenerife have risen more than 22%, figures from TravelSupermarket showed. ……"
"Package holidays in Greece, Spain and Turkey soar in price",BBC,2023-06-28T19:21:58,https://www.bbc.co.uk/news/business-66042289,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/yjcmXE/package-holidays-in-greece-spain-and-turkey-soar-in-price""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""June 28, 2023, 7:21 p.m."" datetime=""2023-06-28T19:21:58"">2 years ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span><span>, <a href=""/colletta-smith"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""351258"">Colletta Smith</a>&nbsp;<small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small></span><span>, <a href=""/lucy-hooker"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""171778"">Lucy Hooker</a>&nbsp;<small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small></span> </div> </span> <span>|</span> <span> <a href=""/media-outlet/bbc"" target=""_blank"" rel=""noreferrer"" class="""">BBC</a> <small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small> </span> </div> Image source, Getty ImagesBy Nicu Calcea, Colletta Smith &amp; Lucy HookerBBC NewsAll-inclusive package holidays have jumped in price for Mediterranean hotspots including Majorca and Crete. The average price of a week with full food and board in Majorca in Spain is up 21%. Prices for Tenerife have risen more than 22%, figures from TravelSupermarket showed. Crete in Greece is 25% more expensive than last year."
The myth of the Russian World,blog.samizdata.co,2023-06-06T09:40:24,https://blog.samizdata.co/p/the-myth-of-the-russian-world,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/y3jLg5/the-myth-of-the-russian-world""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""June 6, 2023, 9:40 a.m."" datetime=""2023-06-06T09:40:24"">2 years ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span><span>, <a href=""/francesco-piccinelli"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""1503769"">Francesco Piccinelli</a></span> </div> </span> <span>|</span> <span> <a href=""http://blog.samizdata.co"" target=""_blank"" rel=""noreferrer"" class="""">blog.samizdata.co</a> </span> </div> When Russia invaded Ukraine in February 2022, one of its excuses was that it wanted to protect ethnic Russians living in the eastern part of the country. To those of us living close to the biggest country on Earth, this sounded like a broken record. Russia has often used ethnic Russians abroad — their presence a result of Russia’s brand of colonial expansion — to harass and threaten its neighbours."
"Steak, coffee and cheese locked up as shoplifting rises",Markets Insider,2023-05-31T11:22:23,https://markets.businessinsider.com/news/commodities/steak--coffee-and-cheese-locked-up-as-shoplifting-rises-12511516,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/yv6PDk/steak-coffee-and-cheese-locked-up-as-shoplifting-rises""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""May 31, 2023, 11:22 a.m."" datetime=""2023-05-31T11:22:23"">2 years ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/noor-nanji"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""2413602"">Noor Nanji</a>&nbsp;<small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small></span><span>, <a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span> </div> </span> <span>|</span> <span> <a href=""/media-outlet/marketsbusinessinsider"" target=""_blank"" rel=""noreferrer"" class="""">Markets Insider</a> </span> </div> Image source, Getty ImagesBy Noor Nanji &amp; Nicu CalceaBusiness reporters, BBC NewsSteaks and cheese are being fitted with security tags and coffee replaced with dummy jars, as supermarkets battle to curb a rise in shoplifting. Some stores are also limiting the number of items on shelves in an attempt to reduce theft. It comes as data analysed by the BBC showed shoplifting offences had now returned to pre-pandemic levels as the cost of living rises."
Steaks and coffee protected as shoplifting soars,BBC,2023-05-31T11:22:23,https://www.bbc.com/news/business-65764513,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/yv1uue/steaks-and-coffee-protected-as-shoplifting-soars""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""May 31, 2023, 11:22 a.m."" datetime=""2023-05-31T11:22:23"">2 years ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/noor-nanji"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""2413602"">Noor Nanji</a>&nbsp;<small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small></span><span>, <a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span> </div> </span> <span>|</span> <span> <a href=""/media-outlet/bbc"" target=""_blank"" rel=""noreferrer"" class="""">BBC</a> <small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small> </span> </div> Image source, Getty ImagesBy Noor Nanji &amp; Nicu CalceaBusiness reporters, BBC NewsSteaks are being fitted with security tags and coffee replaced with dummy jars, as supermarkets battle to curb a rise in shoplifting. Some stores are also limiting the number of items on shelves in an attempt to reduce theft. It comes as data analysed by the BBC showed shoplifting offences reached their highest point in four years in March, as the cost of living rises."
What is Eastern Europe?,blog.samizdata.co,2023-05-01T06:47:45,https://blog.samizdata.co/p/what-is-eastern-europe,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/yIOKgx/what-is-eastern-europe""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""May 1, 2023, 6:47 a.m."" datetime=""2023-05-01T06:47:45"">2 years ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span> </div> </span> <span>|</span> <span> <a href=""http://blog.samizdata.co"" target=""_blank"" rel=""noreferrer"" class="""">blog.samizdata.co</a> </span> </div> Welcome to the first edition of the SAMIZDATA newsletter. If you’re reading this online, you can subscribe below or, if you’ve already subscribed, why not share it with a friend? Since this is a newsletter about Eastern Europe, it follows that a good starting point is defining what that is. Can data show us the way? Back in 2013, I spent a summer in the United States, much of it lifeguarding, selling burgers and drinking what Americans call beer."
