Postcode 1,Postcode 2,Postcode 3,Date Introduced,User Type,Easting,Northing,Positional Quality,County Code,County Name,Local Authority Code,Local Authority Name,Ward Code,Ward Name,Country Code,Country Name,Region Code,Region Name,Parliamentary Constituency Code,Parliamentary Constituency Name,European Electoral Region Code,European Electoral Region Name,Primary Care Trust Code,Primary Care Trust Name,Lower Super Output Area Code,Lower Super Output Area Name,Middle Super Output Area Code,Middle Super Output Area Name,Output Area Classification Code,Output Area Classification Name,Longitude,Spatial Accuracy,Latitude,Last Uploaded,Location,Socrata ID
NW1 0AD,NW1  0AD,NW1 0AD,Jan-80,0,529076,183646,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000142,Regent's Park,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000947,,E02000186,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.140299,Postcode Level,51.53697,01/04/2018 09:47,"(51.53697, -0.140299)",1116783
NW1 0AE,NW1  0AE,NW1 0AE,Jan-80,0,529063,183708,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.140464,Postcode Level,51.53753,01/04/2018 09:47,"(51.53753, -0.140464)",1116784
NW1 0AG,NW1  0AG,NW1 0AG,Jan-80,0,529059,183735,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.140537,Postcode Level,51.537772,01/04/2018 09:47,"(51.537772, -0.140537)",1116785
NW1 0AP,NW1  0AP,NW1 0AP,Jan-80,0,528967,183844,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000863,,E02000186,,2B2,Cosmopolitans;Inner city students;Multicultural student neighbourhood,-0.141823,Postcode Level,51.538772,01/04/2018 09:47,"(51.538772, -0.141823)",1116786
NW1 0AS,NW1  0AS,NW1 0AS,Jan-80,0,528972,183891,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.141734,Postcode Level,51.539193,01/04/2018 09:47,"(51.539193, -0.141734)",1116787
NW1 0AT,NW1  0AT,NW1 0AT,Jan-80,0,528971,183893,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.141748,Postcode Level,51.539212,01/04/2018 09:47,"(51.539212, -0.141748)",1116788
NW1 0AU,NW1  0AU,NW1 0AU,Jan-80,0,528991,183911,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.141427,Postcode Level,51.539371,01/04/2018 09:47,"(51.539371, -0.141427)",1116789
NW1 0AX,NW1  0AX,NW1 0AX,Jan-80,0,529058,183943,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.140476,Postcode Level,51.539641,01/04/2018 09:47,"(51.539641, -0.140476)",1116790
NW1 0AY,NW1  0AY,NW1 0AY,Jan-80,0,529071,183919,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.140297,Postcode Level,51.539422,01/04/2018 09:47,"(51.539422, -0.140297)",1116791
NW1 0BA,NW1  0BA,NW1 0BA,Jan-80,0,529045,183856,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.140669,Postcode Level,51.538864,01/04/2018 09:47,"(51.538864, -0.140669)",1116792
NW1 0BD,NW1  0BD,NW1 0BD,Jan-80,0,529083,183776,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.140177,Postcode Level,51.538135,01/04/2018 09:47,"(51.538135, -0.140177)",1116793
NW1 0BE,NW1  0BE,NW1 0BE,Jan-80,0,529097,183737,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.139989,Postcode Level,51.537781,01/04/2018 09:47,"(51.537781, -0.139989)",1116794
NW1 0BG,NW1  0BG,NW1 0BG,Jan-80,0,529123,183746,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.139611,Postcode Level,51.537856,01/04/2018 09:47,"(51.537856, -0.139611)",1116795
NW1 0BH,NW1  0BH,NW1 0BH,Apr-85,0,529497,183987,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000957,,E02000184,,2D3,Cosmopolitans;Aspiring and affluent;EU white-collar workers,-0.134133,Postcode Level,51.539936,01/04/2018 09:47,"(51.539936, -0.134133)",1116796
NW1 0BJ,NW1  0BJ,NW1 0BJ,Jan-80,0,529167,183777,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.138966,Postcode Level,51.538124,01/04/2018 09:47,"(51.538124, -0.138966)",1116797
NW1 0BL,NW1  0BL,NW1 0BL,Jan-80,0,529155,183726,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000959,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.139157,Postcode Level,51.537669,01/04/2018 09:47,"(51.537669, -0.139157)",1116798
NW1 0BN,NW1  0BN,NW1 0BN,Jan-80,0,529139,183683,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000959,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.139404,Postcode Level,51.537286,01/04/2018 09:47,"(51.537286, -0.139404)",1116799
NW1 0BP,NW1  0BP,NW1 0BP,Jan-80,0,529181,183644,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000959,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.138813,Postcode Level,51.536926,01/04/2018 09:47,"(51.536926, -0.138813)",1116800
NW1 0BQ,NW1  0BQ,NW1 0BQ,Apr-85,0,529514,184010,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000957,,E02000184,,2D3,Cosmopolitans;Aspiring and affluent;EU white-collar workers,-0.13388,Postcode Level,51.540139,01/04/2018 09:47,"(51.540139, -0.13388)",1116801
NW1 0BR,NW1  0BR,NW1 0BR,Apr-85,0,529539,184015,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000957,,E02000184,,2D3,Cosmopolitans;Aspiring and affluent;EU white-collar workers,-0.133518,Postcode Level,51.540178,01/04/2018 09:47,"(51.540178, -0.133518)",1116802
NW1 0BS,NW1  0BS,NW1 0BS,Jan-80,0,529192,183603,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000959,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.138669,Postcode Level,51.536555,01/04/2018 09:47,"(51.536555, -0.138669)",1116803
NW1 0BW,NW1  0BW,NW1 0BW,Jun-01,1,529433,182967,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000142,Regent's Park,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000945,,E02000188,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.13543,Postcode Level,51.530784,01/04/2018 09:47,"(51.530784, -0.13543)",1116804
NW1 0BY,NW1  0BY,NW1 0BY,Oct-84,0,529342,183948,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.136381,Postcode Level,51.539621,01/04/2018 09:47,"(51.539621, -0.136381)",1116805
NW1 0DA,NW1  0DA,NW1 0DA,Jan-80,0,529361,183638,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.136221,Postcode Level,51.536831,01/04/2018 09:47,"(51.536831, -0.136221)",1116806
NW1 0DB,NW1  0DB,NW1 0DB,Jan-80,0,529402,183649,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000959,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.135626,Postcode Level,51.53692,01/04/2018 09:47,"(51.53692, -0.135626)",1116807
NW1 0DD,NW1  0DD,NW1 0DD,Jan-80,0,529424,183613,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000959,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.135322,Postcode Level,51.536592,01/04/2018 09:47,"(51.536592, -0.135322)",1116808
NW1 0DE,NW1  0DE,NW1 0DE,Jan-80,0,529448,183567,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000959,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.134994,Postcode Level,51.536173,01/04/2018 09:47,"(51.536173, -0.134994)",1116809
NW1 0DG,NW1  0DG,NW1 0DG,Jan-80,0,529463,183541,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000959,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.134787,Postcode Level,51.535936,01/04/2018 09:47,"(51.535936, -0.134787)",1116810
NW1 0DH,NW1  0DH,NW1 0DH,Jan-80,0,529407,183707,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.135533,Postcode Level,51.53744,01/04/2018 09:47,"(51.53744, -0.135533)",1116811
NW1 0DJ,NW1  0DJ,NW1 0DJ,Jan-80,0,529370,183780,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.136039,Postcode Level,51.538105,01/04/2018 09:47,"(51.538105, -0.136039)",1116812
NW1 0DL,NW1  0DL,NW1 0DL,Jan-80,0,529293,183834,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.137129,Postcode Level,51.538608,01/04/2018 09:47,"(51.538608, -0.137129)",1116813
NW1 0DN,NW1  0DN,NW1 0DN,Jan-80,0,529340,183865,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.13644,Postcode Level,51.538876,01/04/2018 09:47,"(51.538876, -0.13644)",1116814
NW1 0DP,NW1  0DP,NW1 0DP,Jan-80,0,529268,183862,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.137453,Postcode Level,51.538867,01/04/2018 09:47,"(51.538867, -0.137453)",1116815
NW1 0DQ,NW1  0DQ,NW1 0DQ,Aug-93,0,529433,183925,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.135078,Postcode Level,51.539394,01/04/2018 09:47,"(51.539394, -0.135078)",1116816
NW1 0DR,NW1  0DR,NW1 0DR,Jan-80,0,529346,183766,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.13639,Postcode Level,51.537985,01/04/2018 09:47,"(51.537985, -0.13639)",1116817
NW1 0DS,NW1  0DS,NW1 0DS,Jan-80,0,529389,183691,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.135798,Postcode Level,51.537301,01/04/2018 09:47,"(51.537301, -0.135798)",1116818
NW1 0DT,NW1  0DT,NW1 0DT,Jan-80,0,529375,183682,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.136003,Postcode Level,51.537223,01/04/2018 09:47,"(51.537223, -0.136003)",1116819
NW1 0DU,NW1  0DU,NW1 0DU,Jan-80,0,529300,183766,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.137053,Postcode Level,51.537995,01/04/2018 09:47,"(51.537995, -0.137053)",1116820
NW1 0DX,NW1  0DX,NW1 0DX,Jan-80,0,529303,183710,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.13703,Postcode Level,51.537491,01/04/2018 09:47,"(51.537491, -0.13703)",1116821
NW1 0EA,NW1  0EA,NW1 0EA,Jan-80,0,529231,183916,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.137992,Postcode Level,51.539359,01/04/2018 09:47,"(51.539359, -0.137992)",1116822
NW1 0EB,NW1  0EB,NW1 0EB,Jan-80,0,529233,183947,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.137952,Postcode Level,51.539637,01/04/2018 09:47,"(51.539637, -0.137952)",1116823
NW1 9QZ,NW1  9QZ,NW1 9QZ,Oct-11,0,529698,184357,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000131,Cantelowes,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000864,,E02000180,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.1311,Postcode Level,51.543215,01/04/2018 09:47,"(51.543215, -0.1311)",1118643
NW1 0EE,NW1  0EE,NW1 0EE,Jan-80,0,529197,184007,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.138449,Postcode Level,51.540184,01/04/2018 09:47,"(51.540184, -0.138449)",1116824
NW1 0EG,NW1  0EG,NW1 0EG,Mar-88,0,529263,183780,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.137581,Postcode Level,51.538129,01/04/2018 09:47,"(51.538129, -0.137581)",1116825
NW1 0EH,NW1  0EH,NW1 0EH,Jan-80,0,529210,184032,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.138253,Postcode Level,51.540406,01/04/2018 09:47,"(51.540406, -0.138253)",1116826
NW1 0ER,NW1  0ER,NW1 0ER,Jan-80,0,529257,183427,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000142,Regent's Park,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000947,,E02000186,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.137797,Postcode Level,51.534958,01/04/2018 09:47,"(51.534958, -0.137797)",1116827
NW1 0ES,NW1  0ES,NW1 0ES,Jan-80,0,529279,183440,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000952,,E02000187,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.137475,Postcode Level,51.53507,01/04/2018 09:47,"(51.53507, -0.137475)",1116828
NW1 0ET,NW1  0ET,NW1 0ET,Jan-80,0,529298,183451,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000959,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.137198,Postcode Level,51.535165,01/04/2018 09:47,"(51.535165, -0.137198)",1116829
NW1 0EU,NW1  0EU,NW1 0EU,Jan-80,0,529229,183439,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000142,Regent's Park,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000947,,E02000186,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.138196,Postcode Level,51.535073,01/04/2018 09:47,"(51.535073, -0.138196)",1116830
